Entity,Code,Year,Public social expenditure as a share of GDP
Australia,AUS,1880,0.0
Australia,AUS,1890,0.0
Australia,AUS,1900,0.0
Australia,AUS,1910,1.12
Australia,AUS,1920,1.66
Australia,AUS,1930,2.11
Australia,AUS,1960,5.916265
Australia,AUS,1961,6.3186784
Australia,AUS,1962,6.2705703
Australia,AUS,1963,6.1847687
Australia,AUS,1964,5.962785
Australia,AUS,1965,6.045809
Australia,AUS,1966,5.9078026
Australia,AUS,1967,5.6395383
Australia,AUS,1968,5.662996
Australia,AUS,1969,5.835353
Australia,AUS,1970,5.9003363
Australia,AUS,1971,6.196675
Australia,AUS,1972,6.6230793
Australia,AUS,1973,6.9961514
Australia,AUS,1974,8.378857
Australia,AUS,1975,10.1352005
Australia,AUS,1976,10.5726385
Australia,AUS,1977,10.896706
Australia,AUS,1978,10.613026
Australia,AUS,1979,10.272347
Australia,AUS,1980,10.244
Australia,AUS,1981,10.116
Australia,AUS,1982,11.09
Australia,AUS,1983,11.591
Australia,AUS,1984,11.97
Australia,AUS,1985,12.062
Australia,AUS,1986,11.897
Australia,AUS,1987,12.151
Australia,AUS,1988,11.446
Australia,AUS,1989,11.584
Australia,AUS,1990,13.118
Australia,AUS,1991,14.28
Australia,AUS,1992,15.257
Australia,AUS,1993,15.516
Australia,AUS,1994,15.242
Australia,AUS,1995,16.88
Australia,AUS,1996,16.998
Australia,AUS,1997,16.765
Australia,AUS,1998,17.588
Australia,AUS,1999,17.225
Australia,AUS,2000,18.21
Australia,AUS,2001,17.509
Australia,AUS,2002,17.314
Australia,AUS,2003,17.498
Australia,AUS,2004,17.197
Australia,AUS,2005,16.66
Australia,AUS,2006,15.699
Australia,AUS,2007,15.858
Australia,AUS,2008,17.05
Australia,AUS,2009,16.853
Australia,AUS,2010,16.553
Australia,AUS,2011,17.02
Australia,AUS,2012,17.308
Australia,AUS,2013,17.263
Australia,AUS,2014,17.804
Australia,AUS,2015,18.207
Australia,AUS,2016,17.476
Australia,AUS,2017,17.077
Australia,AUS,2018,16.638
Australia,AUS,2019,20.451
Austria,AUT,1880,0.0
Austria,AUT,1890,0.0
Austria,AUT,1900,0.0
Austria,AUT,1910,0.0
Austria,AUT,1920,0.0
Austria,AUT,1930,1.2
Austria,AUT,1960,14.955679
Austria,AUT,1961,14.963559
Austria,AUT,1962,15.862862
Austria,AUT,1963,16.255716
Austria,AUT,1964,16.21699
Austria,AUT,1965,16.42542
Austria,AUT,1966,16.66501
Austria,AUT,1967,17.466341
Austria,AUT,1968,17.004122
Austria,AUT,1969,17.841679
Austria,AUT,1970,17.797773
Austria,AUT,1971,17.941856
Austria,AUT,1972,17.79107
Austria,AUT,1973,17.637253
Austria,AUT,1974,18.095798
Austria,AUT,1975,19.742004
Austria,AUT,1976,20.443579
Austria,AUT,1977,20.444609
Austria,AUT,1978,22.073421
Austria,AUT,1979,22.020512
Austria,AUT,1980,21.906
Austria,AUT,1981,22.483408
Austria,AUT,1985,23.205
Austria,AUT,1990,23.263
Austria,AUT,1991,23.584
Austria,AUT,1992,24.276
Austria,AUT,1993,25.675
Austria,AUT,1994,26.614
Austria,AUT,1995,26.556
Austria,AUT,1996,26.678
Austria,AUT,1997,26.18
Austria,AUT,1998,25.98
Austria,AUT,1999,26.329
Austria,AUT,2000,26.043
Austria,AUT,2001,26.092
Austria,AUT,2002,26.396
Austria,AUT,2003,26.933
Austria,AUT,2004,26.719
Austria,AUT,2005,26.337
Austria,AUT,2006,26.063
Austria,AUT,2007,25.477
Austria,AUT,2008,25.947
Austria,AUT,2009,27.957
Austria,AUT,2010,28.052
Austria,AUT,2011,27.231
Austria,AUT,2012,27.611
Austria,AUT,2013,28.031
Austria,AUT,2014,28.255
Austria,AUT,2015,28.261
Austria,AUT,2016,28.197
Austria,AUT,2017,27.826
Austria,AUT,2018,27.561
Austria,AUT,2019,27.708
Austria,AUT,2020,31.108
Austria,AUT,2021,31.061
Austria,AUT,2022,29.356
Belgium,BEL,1880,0.17
Belgium,BEL,1890,0.22
Belgium,BEL,1900,0.26
Belgium,BEL,1910,0.43
Belgium,BEL,1920,0.52
Belgium,BEL,1930,0.56
Belgium,BEL,1960,10.073508
Belgium,BEL,1961,10.545173
Belgium,BEL,1962,11.049902
Belgium,BEL,1963,11.47631
Belgium,BEL,1964,11.489252
Belgium,BEL,1965,12.306952
Belgium,BEL,1966,13.053801
Belgium,BEL,1967,13.455044
Belgium,BEL,1968,14.482375
Belgium,BEL,1969,14.4946785
Belgium,BEL,1970,14.7617855
Belgium,BEL,1971,15.046238
Belgium,BEL,1972,15.949143
Belgium,BEL,1973,16.369476
Belgium,BEL,1974,16.981936
Belgium,BEL,1975,20.499475
Belgium,BEL,1976,21.494461
Belgium,BEL,1977,22.670286
Belgium,BEL,1978,22.939167
Belgium,BEL,1979,23.129791
Belgium,BEL,1980,23.202
Belgium,BEL,1981,24.752
Belgium,BEL,1982,25.35
Belgium,BEL,1983,25.634
Belgium,BEL,1984,24.852
Belgium,BEL,1985,25.689
Belgium,BEL,1986,25.518
Belgium,BEL,1987,25.289
Belgium,BEL,1988,25.107
Belgium,BEL,1989,24.262
Belgium,BEL,1990,24.57
Belgium,BEL,1991,25.335
Belgium,BEL,1992,24.346
Belgium,BEL,1993,25.4
Belgium,BEL,1994,24.801
Belgium,BEL,1995,25.304
Belgium,BEL,1996,25.935
Belgium,BEL,1997,24.929
Belgium,BEL,1998,24.929
Belgium,BEL,1999,24.73
Belgium,BEL,2000,23.655
Belgium,BEL,2001,24.123
Belgium,BEL,2002,24.504
Belgium,BEL,2003,25.061
Belgium,BEL,2004,24.826
Belgium,BEL,2005,24.685
Belgium,BEL,2006,24.595
Belgium,BEL,2007,24.339
Belgium,BEL,2008,25.745
Belgium,BEL,2009,27.979
Belgium,BEL,2010,27.666
Belgium,BEL,2011,28.101
Belgium,BEL,2012,27.962
Belgium,BEL,2013,28.34
Belgium,BEL,2014,28.394
Belgium,BEL,2015,29.055
Belgium,BEL,2016,28.426
Belgium,BEL,2017,28.275
Belgium,BEL,2018,28.355
Belgium,BEL,2019,28.218
Belgium,BEL,2020,32.28
Belgium,BEL,2021,29.705
Belgium,BEL,2022,28.965
Canada,CAN,1880,0.0
Canada,CAN,1890,0.0
Canada,CAN,1900,0.0
Canada,CAN,1910,0.0
Canada,CAN,1920,0.06
Canada,CAN,1930,0.31
Canada,CAN,1960,8.021343
Canada,CAN,1961,8.296839
Canada,CAN,1962,8.258081
Canada,CAN,1963,8.191873
Canada,CAN,1964,8.0992565
Canada,CAN,1965,7.8435144
Canada,CAN,1966,7.979699
Canada,CAN,1967,8.724612
Canada,CAN,1968,9.257986
Canada,CAN,1969,9.605425
Canada,CAN,1970,10.359873
Canada,CAN,1971,11.233394
Canada,CAN,1972,11.985065
Canada,CAN,1973,11.998975
Canada,CAN,1974,12.384915
Canada,CAN,1975,13.514089
Canada,CAN,1976,13.215704
Canada,CAN,1977,13.433996
Canada,CAN,1978,13.235043
Canada,CAN,1979,12.7479925
Canada,CAN,1980,13.148
Canada,CAN,1981,13.622
Canada,CAN,1982,15.918
Canada,CAN,1983,16.088
Canada,CAN,1984,15.789
Canada,CAN,1985,16.262
Canada,CAN,1986,16.202
Canada,CAN,1987,15.924
Canada,CAN,1988,15.726
Canada,CAN,1989,16.091
Canada,CAN,1990,17.391
Canada,CAN,1991,19.612
Canada,CAN,1992,20.261
Canada,CAN,1993,20.198
Canada,CAN,1994,19.111
Canada,CAN,1995,18.209
Canada,CAN,1996,17.405
Canada,CAN,1997,16.786
Canada,CAN,1998,16.87
Canada,CAN,1999,15.883
Canada,CAN,2000,15.592
Canada,CAN,2001,16.02
Canada,CAN,2002,16.029
Canada,CAN,2003,16.099
Canada,CAN,2004,16.098
Canada,CAN,2005,15.953
Canada,CAN,2006,16.346
Canada,CAN,2007,16.264
Canada,CAN,2008,16.352
Canada,CAN,2009,18.085
Canada,CAN,2010,17.6
Canada,CAN,2011,17.093
Canada,CAN,2012,17.222
Canada,CAN,2013,16.986
Canada,CAN,2014,16.913
Canada,CAN,2015,17.934
Canada,CAN,2016,18.296
Canada,CAN,2017,18.029
Canada,CAN,2018,18.004
Canada,CAN,2019,18.784
Canada,CAN,2020,24.911
Chile,CHL,1987,11.743
Chile,CHL,1988,10.444
Chile,CHL,1989,9.853
Chile,CHL,1990,9.726
Chile,CHL,1991,9.707
Chile,CHL,1992,9.272
Chile,CHL,1993,9.388
Chile,CHL,1994,9.129
Chile,CHL,1995,10.897
Chile,CHL,1996,11.784
Chile,CHL,1997,11.477
Chile,CHL,1998,11.845
Chile,CHL,1999,12.635
Chile,CHL,2000,10.346
Chile,CHL,2001,10.042
Chile,CHL,2002,10.075
Chile,CHL,2003,9.922
Chile,CHL,2004,9.302
Chile,CHL,2005,8.918
Chile,CHL,2006,8.308
Chile,CHL,2007,8.482
Chile,CHL,2008,9.619
Chile,CHL,2009,11.555
Chile,CHL,2010,10.643
Chile,CHL,2011,10.153
Chile,CHL,2012,10.208
Chile,CHL,2013,10.159
Chile,CHL,2014,10.43
Chile,CHL,2015,10.963
Chile,CHL,2016,11.19
Chile,CHL,2017,11.478
Chile,CHL,2018,11.454
Chile,CHL,2019,11.706
Chile,CHL,2020,15.061
Chile,CHL,2021,19.605
Colombia,COL,2010,12.992
Colombia,COL,2011,12.681
Colombia,COL,2012,12.625
Colombia,COL,2013,13.191
Colombia,COL,2014,14.111
Colombia,COL,2015,14.545
Colombia,COL,2016,14.147
Colombia,COL,2017,14.112
Colombia,COL,2018,13.688
Colombia,COL,2019,14.126
Colombia,COL,2020,17.02
Colombia,COL,2021,15.153
Costa Rica,CRI,2011,12.346
Costa Rica,CRI,2012,12.029
